id,generico_non_terrestre,generico_terrestre,inventato,no_ambientazione,nominato_non_terrestre,nominato_terrestre,pct_nebbia_normalizzata,pct_cancellazione_normalizzata,pct_nebbia,pct_cancellazione,norma_pct_caratteri_nebbia_cancellazione,nebbia_words_ratio,cancellazione_words_ratio,dubitative_ratio,n_lists_f,n_lists_m,n_lists_p,n_lists_s,text_length,n_generico_non_terrestre,n_generico_terrestre,n_inventato,n_no_ambientazione,n_nominato_non_terrestre,n_nominato_terrestre
S020,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,0,0,0,101,11391,0,2,0,0,0,2
S021,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,155,115,14106,0,4,0,0,0,0
S022,0.000,0.400,0.000,0.000,0.000,0.600,0,0.16,0,100,0.16,0,0.03,0.02,0,0,112,200,9906,0,4,0,0,0,1
S023,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,251,137,165,0,9860,0,3,1,0,0,0
S024,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,133,8487,0,3,0,0,0,0
S025,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,643,0,48,741,15971,0,4,0,0,0,0
S026,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,823,0,0,0,15495,0,4,0,0,0,0
S027,0.000,0.000,0.000,0.000,0.000,1.000,0.12,0,100,0,0.1,0.06,0,0.02,0,0,0,0,0,0,3,0,0,0,1
S028,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,43,0,3554,0,3,0,0,0,0
S029,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,338,0,0,574,12933,0,2,0,0,0,1
S030,0.000,1.000,0.000,0.000,0.000,0.000,0.08,0,100,0,0.07,0.06,0,0.02,349,0,0,0,14313,0,2,0,0,0,0
S031,0.000,0.000,1.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,31,110,5327,0,1,0,0,0,1
S032,0.000,0.333,0.667,0.000,0.000,0.000,0,0,0,0,0,0,0,0,489,0,173,0,9727,0,5,1,0,0,0
S033,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,283,10473,0,5,2,0,0,0
S034,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,1664,0,0,0,21698,0,6,6,0,0,3
S035,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,568,0,67,221,8005,0,0,0,0,0,2
S036,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,640,0,78,224,9089,0,3,0,0,0,1
S037,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,251,0,0,0,16625,0,3,0,0,0,0
S038,0.000,1.000,0.000,0.000,0.000,0.000,0,0.28,0,100,0.28,0,0.03,0.02,0,0,0,421,7418,0,5,0,0,0,0
S039,0.000,0.000,0.000,0.000,0.000,1.000,0,0.25,0,100,0.25,0,0.06,0.05,175,93,0,150,12987,0,9,0,0,0,3
S040,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
S041,0.000,0.500,0.500,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,98,0,14887,0,5,1,0,0,0
S042,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
S043,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,634,0,0,291,14101,0,10,0,0,0,0
S044,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,336,0,0,0,7633,0,2,0,0,0,0
S045,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,626,122,0,0,11610,0,8,0,0,0,0
S046,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,147,0,106,236,16862,0,6,0,0,0,0
S047,0.000,1.000,0.000,0.000,0.000,0.000,0.11,0,100,0,0.09,0.06,0,0.02,0,0,45,0,12416,0,7,0,0,0,0
S048,0.000,0.818,0.000,0.000,0.000,0.182,0.08,0,100,0,0.09,0.06,0,0.02,510,155,0,115,15006,0,9,0,0,0,2
S049,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,583,250,0,428,10193,0,13,0,0,0,0
S050,0.000,0.667,0.000,0.000,0.000,0.333,0,0,0,0,0,0,0,0,2805,0,0,203,21333,0,2,0,0,0,1
S051,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
S052,0.000,1.000,0.000,0.000,0.000,0.000,0,0.3,0,100,0.3,0,0.06,0.05,926,0,66,0,11940,0,10,0,0,0,0
S053,0.000,1.000,0.000,0.000,0.000,0.000,0,0.27,0,100,0.27,0,0.03,0.02,0,92,56,223,6506,0,6,0,0,0,0
S054,0.000,1.000,0.000,0.000,0.000,0.000,0.02,0,100,0,0.01,0.06,0,0.02,2498,222,0,1749,71831,0,15,0,0,0,0
S055,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,257,0,0,83,4278,0,8,0,0,0,0
S056,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,868,0,0,0,7069,0,7,0,0,0,0
S057,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,456,0,0,0,7070,0,3,0,0,0,0
S058,0.000,0.000,0.000,0.000,0.000,1.000,0.2,0,100,0,0.16,0.06,0,0.02,0,0,0,0,0,0,7,0,0,0,2
S059,0.000,1.000,0.000,0.000,0.000,0.000,0.29,0.2,67.07.00,33.33.00,0.44,0.12,0.03,0.07,948,82,0,0,7919,0,5,0,0,0,0
S060,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,2301,0,156,0,6734,0,2,0,0,0,0
S061,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,98,0,5431,0,7,0,0,0,0
S062,0.000,1.000,0.000,0.000,0.000,0.000,0,0.16,0,100,0.16,0,0.03,0.02,0,0,0,0,0,0,5,0,0,0,0
S063,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,704,125,149,0,10989,0,3,3,0,0,2
S064,0.000,1.000,0.000,0.000,0.000,0.000,0.11,0,100,0,14796494.57.00,0.06,0,0.02,388,118,45,94,17761,0,13,0,0,0,0
S065,0.000,0.038,0.000,0.000,0.000,0.962,0.03,0.06,33.33.00,67.07.00,0.08,0.06,0.03,0.05,1071,146,209,608,51188,0,20,0,0,0,6
S066,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,262,0,0,224,7594,0,10,0,0,0,0
S067,0.000,0.167,0.000,0.000,0.000,0.833,0,0,0,0,0,0,0,0,973,364,253,855,27190,0,11,0,0,0,1
S068,0.000,1.000,0.000,0.000,0.000,0.000,0,0.1,0,100,0.1,0,0.03,0.02,285,386,0,191,17132,0,13,0,0,0,0
S069,0.000,0.000,1.000,0.000,0.000,0.000,0,0.28,0,100,0.28,0,0.03,0.02,155,0,36,0,5596,0,1,1,0,0,0
S070,0.000,0.000,1.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,107,48,84,10429,0,2,1,0,0,0
S071,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,526,0,0,146,10615,0,4,0,0,0,2
S072,0.000,0.100,0.000,0.000,0.000,0.900,0,0,0,0,0,0,0,0,1108,0,40,511,39484,0,9,0,0,0,1
S073,0.000,1.000,0.000,0.000,0.000,0.000,0,0.19,0,100,0.19,0,0.03,0.02,1102,0,80,125,8394,0,5,0,0,0,0
S074,0.000,0.000,1.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,48,0,4546,0,0,3,0,0,0
S075,0.000,0.000,1.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
S076,0.000,0.500,0.000,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
S077,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,255,0,205,0,4114,0,1,0,0,0,4
S078,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,127,7027,0,6,1,0,0,0
S079,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
S080,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,43,0,4042,0,1,0,0,0,0
S081,0.200,0.200,0.000,0.000,0.600,0.000,0,0,0,0,0,0,0,0,0,0,45,94,4019,1,3,0,0,1,0
S082,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,242,0,0,0,6485,0,1,0,0,0,0
S083,0.000,1.000,0.000,0.000,0.000,0.000,0.43,0,100,0,0.36,0.35,0,0.14,278,0,40,144,16872,0,9,0,0,0,0
S084,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,635,0,49,759,26301,0,5,0,0,0,0
S085,0.000,1.000,0.000,0.000,0.000,0.000,0.13,0,100,0,0.11,0.06,0,0.02,0,0,0,639,8752,0,7,0,0,0,0
S086,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,1022,0,0,372,10513,0,3,0,0,0,0
S087,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S088,0.000,0.067,0.000,0.000,0.000,0.933,0,0,0,0,0,0,0,0,2627,287,795,4299,168428,0,10,0,0,0,7
S089,0.000,0.500,0.000,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0,192,0,203,8266,0,2,0,0,0,0
S090,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
S091,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,320,318,0,309,6351,0,0,0,0,0,2
S092,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,679,0,129,443,17022,0,5,0,0,0,0
S093,0.000,1.000,0.000,0.000,0.000,0.000,0,0.25,0,100,0.25,0,0.09,0.07,1749,0,60,381,21230,0,6,1,0,0,0
S094,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,1623,0,106,861,29812,0,6,0,0,0,0
S095,0.000,0.000,0.167,0.000,0.000,0.833,0.22,0.05,85,15,0.23,1,0.09,0.45,2798,584,487,2129,101390,0,26,3,0,0,1
S096,0.000,1.000,0.000,0.000,0.000,0.000,0,0.19,0,100,0.19,0,0.06,0.05,1945,0,0,3521,15161,0,3,2,0,0,0
S097,0.000,0.200,0.000,0.000,0.000,0.800,0,0.08,0,100,0.08,0,0.06,0.05,4545,0,126,613,30293,0,4,0,0,0,6
S098,0.000,1.000,0.000,0.000,0.000,0.000,0,0.11,0,100,0.11,0,0.03,0.02,703,0,46,528,14003,0,7,0,0,0,0
S099,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,1557,0,0,507,27454,0,5,0,0,0,0
S100,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,538,0,155,277,10616,0,4,0,0,0,0
S101,0.000,0.667,0.000,0.000,0.000,0.333,0.08,0,100,0,0.07,0.06,0,0.02,92,98,55,490,18975,0,7,0,0,0,2
S102,0.000,1.000,0.000,0.000,0.000,0.000,0.08,0,100,0,0.07,0.06,0,0.02,552,0,0,0,14457,0,5,0,0,0,0
S103,0.000,1.000,0.000,0.000,0.000,0.000,0.15,0,100,0,0.12,0.06,0,0.02,87,346,66,238,7814,0,7,0,0,0,0
S104,0.000,0.400,0.000,0.000,0.000,0.600,0,0,0,0,0,0,0,0,1615,0,0,608,11830,0,4,0,0,0,1
S105,0.000,1.000,0.000,0.000,0.000,0.000,0.19,0.11,67.07.00,33.33.00,0.27,0.12,0.03,0.07,0,85,108,1301,13850,0,5,0,0,0,0
S106,0.000,0.000,0.000,0.000,0.000,1.000,0,0.02,0,100,0.02,0,0.03,0.02,1519,1101,221,1805,39265,0,3,0,0,0,6
S107,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,110,83,0,10815,0,2,0,0,0,0
S108,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,87,0,43,243,10606,0,3,0,0,0,0
S109,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,66,164,12518,0,12,0,0,0,0
S110,0.000,1.000,0.000,0.000,0.000,0.000,1,0.13,92.07.00,8.33,1.36,1.05,0.03,0.27,0,101,88,86,13030,0,15,0,0,0,0
S111,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,180,0,12414,0,7,1,0,0,0
S112,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,514,132,7838,0,3,0,0,0,0
S113,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,170,73,0,6089,0,5,0,0,0,0
S114,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,1471,150,350,429,20899,0,8,1,0,0,0
S115,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,462,344,0,178,15228,0,9,1,0,0,0
S116,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,628,0,44,0,5787,0,7,0,0,0,0
S117,0.000,1.000,0.000,0.000,0.000,0.000,0,0.18,0,100,0.18,0,0.03,0.02,157,0,0,230,8741,0,9,0,0,0,0
S118,0.000,0.000,0.000,0.000,1.000,0.000,0,0,0,0,0,0,0,0,1341,0,370,432,29733,0,1,1,0,2,0
S119,0.500,0.000,0.000,0.000,0.500,0.000,0,0,0,0,0,0,0,0,229,0,43,304,19463,1,0,0,0,1,0
S120,1.000,0.000,0.000,0.000,0.000,0.000,0,0,0,100,0,0,0.34,0.25,128,0,36,1201,19237,2,0,0,0,2,0
S121,0.000,0.000,0.000,0.000,1.000,0.000,0,0,0,0,0,0,0,0,0,0,39,751,9490,1,1,0,0,1,0
S122,0.000,0.000,0.000,0.000,1.000,0.000,0.16,0.08,67.07.00,33.33.00,0.22,0.12,0.03,0.07,594,0,55,0,18946,0,10,0,0,1,0
S123,0.333,0.000,0.000,0.000,0.667,0.000,0,0,0,0,0,0,0,0,109,776,150,690,14692,1,0,0,0,2,0
S124,0.000,0.000,0.000,0.000,1.000,0.000,0,0,0,0,0,0,0,0,0,0,82,247,21396,0,8,0,0,1,0
S125,0.000,0.000,0.000,0.000,1.000,0.000,0,0,0,0,0,0,0,0,661,536,45,0,16925,0,3,0,0,1,0
S126,1.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,624,54,0,0,11691,2,0,0,0,0,0
S127,0.000,0.000,0.000,0.000,1.000,0.000,0,0.18,0,100,0.18,0,0.06,0.05,761,439,193,497,17758,0,2,0,0,1,0
S128,1.000,0.000,0.000,0.000,0.000,0.000,0,0.12,0,100,0.12,0,0.03,0.02,0,0,192,1065,15776,8,0,0,0,0,0
S129,1.000,0.000,0.000,0.000,0.000,0.000,0.1,0,100,0,0.08,0.06,0,0.02,0,0,108,0,16962,4,0,0,0,0,0
S130,0.000,0.000,0.000,0.000,1.000,0.000,0,0.1,0,100,0.1,0,0.06,0.05,355,193,200,167,32538,0,13,0,0,1,0
S131,1.000,0.000,0.000,0.000,0.000,0.000,0,0.18,0,100,0.18,0,0.09,0.07,261,153,0,0,26660,2,0,0,0,0,0
S132,0.000,1.000,0.000,0.000,0.000,0.000,0.05,0,100,0,0.04,0.06,0,0.02,1392,549,4235,1791,27755,0,3,0,0,0,0
S133,0.000,1.000,0.000,0.000,0.000,0.000,0,0.06,0,100,0.06,0,0.03,0.02,931,0,213,2054,27727,0,3,0,0,0,0
S134,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,275,424,120,424,27482,0,2,0,0,0,0
S135,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,170,0,58,192,26513,0,4,0,0,0,0
S136,0.000,0.000,0.000,0.000,1.000,0.000,0.09,0,100,0,0.07,0.06,0,0.02,135,60,27,102,15771,0,3,0,0,1,8
S137,0.000,0.000,0.000,0.000,1.000,0.000,0.05,0.14,33.33.00,67.07.00,0.18,0.06,0.06,0.07,528,0,148,380,21376,0,9,2,0,1,0
S138,0.000,1.000,0.000,0.000,0.000,0.000,0,0.34,0,100,0.34,0,0,0.07,85,0,66,0,13732,0,2,0,0,0,0
S139,0.000,0.714,0.000,0.000,0.000,0.286,0,0,0,0,0,0,0,0,181,0,111,152,21043,0,6,0,0,0,1
S140,0.000,0.600,0.400,0.000,0.000,0.000,0,0,0,0,0,0,0,0,907,0,0,493,14578,0,3,2,0,0,0
S141,0.000,0.000,0.000,0.000,1.000,0.000,0,0.09,0,100,0.09,0,0.03,0.02,0,57,453,508,16603,0,5,1,0,1,3
S142,0.000,0.167,0.000,0.000,0.833,0.000,0,0.09,0,100,0.09,0,0.03,0.02,1492,112,0,768,18954,0,5,0,0,1,0
S143,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,752,87,112,0,9299,0,6,0,0,0,0
S144,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,2043,110,109,124,22375,0,1,0,0,0,1
S145,0.000,0.000,0.000,0.000,1.000,0.000,0,0.07,0,100,0.07,0,0.03,0.02,475,0,32,193,23452,0,6,0,0,1,8
S146,0.000,0.000,0.000,0.000,1.000,0.000,0,0,0,0,0,0,0,0,256,0,0,504,13895,2,2,0,0,1,2
S147,0.000,0.000,0.000,0.000,1.000,0.000,0,0,0,0,0,0,0,0,785,94,0,583,18603,0,2,1,0,1,1
S148,0.000,0.000,0.000,0.000,1.000,0.000,0,0,0,0,0,0,0,0,128,114,69,837,7831,0,0,0,0,1,0
S149,0.000,0.500,0.000,0.000,0.000,0.500,0,0,0,0,0,0,0,0,239,0,37,297,25519,0,5,0,0,0,1
S150,0.000,1.000,0.000,0.000,0.000,0.000,0.16,0.08,75,25,0.21,0.18,0.03,0.09,1078,100,137,909,22085,0,2,0,0,0,0
S151,0.000,0.222,0.000,0.000,0.000,0.778,0.25,0.06,83.33.00,17.07,0.27,0.29,0.03,0.14,2681,78,474,315,25010,0,12,0,0,0,6
S152,0.000,1.000,0.000,0.000,0.000,0.000,0,0.04,0,100,0.04,0,0.06,0.05,6399,973,806,2156,98779,0,1,0,0,0,0
S153,1.000,0.000,0.000,0.000,0.000,0.000,0,0.2,0,100,0.2,0,0.06,0.05,328,136,0,279,15654,1,0,0,0,0,0
S154,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,0,0,0,573,123,172,806,44046,0,2,0,0,0,3
S155,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,1025,0,58,0,12331,0,4,0,0,0,0
S156,0.000,0.750,0.000,0.000,0.000,0.250,0,0,0,0,0,0,0,0,1126,0,0,0,6231,0,3,0,0,0,1
S157,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,2923,118,0,0,15168,0,0,0,0,0,1
S158,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,586,0,107,0,20699,0,1,0,0,0,1
S159,0.000,0.000,0.000,0.000,0.000,1.000,0,0.19,0,100,0.19,0,0.06,0.05,0,66,121,232,16064,0,1,0,0,0,1
S160,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,194,0,0,0,2780,0,0,0,0,0,2
S161,0.000,0.000,0.000,1.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
S162,0.000,1.000,0.000,0.000,0.000,0.000,0.1,0,100,0,0.08,0.06,0,0.02,0,0,0,237,9784,0,2,0,0,0,0
S163,0.000,0.000,0.000,1.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,99,0,3072,0,0,0,1,0,0
S164,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,325,0,33,0,8420,0,4,0,0,0,0
S165,0.000,0.333,0.000,0.000,0.000,0.667,0,0.53,0,100,0.53,0,0.03,0.02,0,0,0,0,0,0,2,0,0,0,1
S166,0.000,0.000,0.000,0.000,0.000,1.000,0.23,0,100,0,0.19,0.06,0,0.02,0,71,0,259,4952,0,2,0,0,0,1
S167,0.000,1.000,0.000,0.000,0.000,0.000,0.2,0.19,50,50,0.35,0.06,0.03,0.05,0,0,145,0,6749,0,2,0,0,0,0
S168,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,110,0,127,0,5772,0,0,0,0,0,4
S169,0.000,1.000,0.000,0.000,0.000,0.000,0.18,0,100,0,0.14,0.06,0,0.02,434,0,45,556,8736,0,1,0,0,0,0
S170,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,694,0,0,0,5037,0,0,0,0,0,3
S171,0.000,0.000,0.000,0.000,0.000,1.000,0.07,0.05,67.07.00,33.33.00,0.1,0.12,0.03,0.07,506,1491,403,127,41079,0,4,0,0,0,2
S172,0.000,1.000,0.000,0.000,0.000,0.000,0.26,0,100,0,0.21,0.06,0,0.02,386,0,0,421,5137,0,2,0,0,0,0
S173,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,,0,0,0,0,0,0,0,0,0,3,0,0,0,0
S174,0.000,0.000,0.000,1.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,32,0,3825,0,0,0,1,0,0
S175,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,211,358,198,367,12906,0,3,0,0,0,0
S176,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,59,0,7552,0,1,0,0,0,0
S177,0.000,0.000,0.000,1.000,0.000,0.000,0,0.57,0,100,0.57,0,0.09,0.07,608,0,0,109,7490,0,0,0,1,0,0
S178,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,0,0,0,82,4684,0,1,0,0,0,1
S179,0.000,0.000,0.200,0.000,0.800,0.000,0,0,0,0,0,0,0,0,572,0,0,643,16915,0,2,1,0,1,1
S180,0.000,0.000,0.000,1.000,0.000,0.000,0,0,0,0,0,0,0,0,0,97,158,578,4167,0,0,0,1,0,0
S181,0.000,0.750,0.000,0.000,0.000,0.250,0,0.16,0,100,0.16,0,0.06,0.05,697,138,207,0,18849,0,3,0,0,0,1
S182,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,0,177,56,0,9054,0,1,0,0,0,1
S183,0.000,1.000,0.000,0.000,0.000,0.000,0,0.17,0,100,0.17,0,0.03,0.02,376,651,258,69,12343,0,1,0,0,0,0
S184,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,1150,0,29,0,8184,0,1,0,0,0,0
S185,0.000,0.000,0.000,0.000,0.000,1.000,0.04,0.04,50,50,0.07,0.06,0.03,0.05,602,353,389,731,41220,0,3,0,0,0,4
S186,0.000,0.000,0.000,1.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,66,0,3938,0,0,0,1,0,0
S187,0.000,0.000,1.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,292,0,76,0,6400,0,2,1,0,0,0
S188,0.000,0.000,0.000,1.000,0.000,0.000,0.08,0,100,0,0.06,0.06,0,0.02,0,0,222,94,14889,0,0,0,1,0,0
S189,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,417,60,120,114,17663,0,1,0,0,0,0
S190,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,130,170,124,9267,0,3,0,0,0,0
S191,0.000,1.000,0.000,0.000,0.000,0.000,0,0.55,0,100,0.55,0,0.09,0.07,684,95,0,0,8612,0,2,0,0,0,0
S192,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
S193,0.000,1.000,0.000,0.000,0.000,0.000,0,0.23,0,100,0.23,0,0.03,0.02,60,0,0,170,6978,0,1,0,0,0,0
